Name;LOC;Time;PIPs;Paths;Paths vuln;Paths timeout;XSS;SQLi;EVAL;SPECIFICS
EasyCorp_EasyAdminBundle.result;26631;00:01:45;0;0;0;0;0;0;0;;
z-song_laravel-admin.result;25191;00:01:04;0;0;0;0;0;0;0;;
FreshRSS_FreshRSS.result;60527;03:23:59;5;7;5;0;5;0;0;  (xss) exit:3,  (xss) echo_func:2,;
slimphp_Slim.result;10205;00:00:40;0;0;0;0;0;0;0;;
jcc_blog.result;5789;00:00:33;0;0;0;0;0;0;0;;
aws_aws-sdk-php.result;66944;00:09:39;0;0;0;0;0;0;0;;
roundcube_roundcubemail.result;67422;04:44:32;4;10;7;0;4;0;0;  (xss) sprintf:4,;
benedmunds_CodeIgniter-Ion-Auth.result;8219;00:01:33;0;0;0;0;0;0;0;;
UniSharp_laravel-filemanager.result;3843;00:00:30;0;0;0;0;0;0;0;;
wp-cli_wp-cli.result;9841;00:07:57;0;0;0;0;0;0;0;;
googleapis_google-api-php-client.result;6851;00:01:02;0;0;0;0;0;0;0;;
serbanghita_Mobile-Detect.result;3454;00:00:36;2;2;2;0;2;0;0;  (xss) echo_func:2,;
monicahq_monica.result;95872;00:01:22;0;0;0;0;0;0;0;;
avalanche123_Imagine.result;12067;00:02:53;0;0;0;0;0;0;0;;
rocketeers_rocketeer.result;14947;00:02:03;0;0;0;0;0;0;0;;
zendframework_zend-diactoros.result;7833;00:01:00;0;0;0;0;0;0;0;;
etsy_morgue.result;4291;00:01:11;0;0;0;0;0;0;0;;
BootstrapCMS_CMS.result;3383;00:00:24;0;0;0;0;0;0;0;;
rlerdorf_opcache-status.result;1101;00:00:36;0;0;0;0;0;0;0;;
kriswallsmith_assetic.result;10885;00:01:56;0;0;0;0;0;0;0;;
Hanson_vbot.result;3589;00:00:39;0;0;0;0;0;0;0;;
zendframework_ZendSkeletonApplication.result;462;00:00:21;0;0;0;0;0;0;0;;
hanc00l_wooyun_public.result;1449;00:00:44;0;0;0;0;0;0;0;;
Intervention_image.result;11608;00:01:08;0;0;0;0;0;0;0;;
kalcaddle_KodExplorer.result;58356;01:33:34;4;5;1;2;4;0;0;  (xss) echo_func:4,;
briannesbitt_Carbon.result;153920;00:02:41;0;0;0;0;0;0;0;;
composer_composer.result;59245;00:04:48;0;0;0;0;0;0;0;;
easychen_howto-make-more-money.result;12;00:00:21;0;0;0;0;0;0;0;;
fuel_fuel.result;54088;00:00:19;0;0;0;0;0;0;0;;
overtrue_wechat.result;25112;00:00:46;0;0;0;0;0;0;0;;
zhanghuanchong_icon-workshop.result;9885;00:00:44;0;0;0;0;0;0;0;;
rebing_graphql-laravel.result;15351;00:00:37;0;0;0;0;0;0;0;;
